warranty_id,product_id,warranty_start_date,warranty_end_date,terms_summary
W001,P001,2025-01-15,2027-01-15,2-year limited hardware warranty. Covers manufacturing defects.
W002,P002,2025-03-10,2026-03-10,1-year compressor warranty. Does not cover water damage.
W003,P003,2025-06-20,2026-06-20,1-year general coverage. Accidental damage not included.
W004,P004,2024-11-22,2027-11-22,3-year display and panel warranty. Burn-in damage excluded.
W005,P005,2025-02-05,2026-02-05,1-year kitchen appliance warranty. Misuse and physical damage excluded.
W006,P006,2025-07-12,2026-07-12,1-year console hardware warranty. Controller wear excluded.
W007,P007,2025-05-30,2027-05-30,2-year motor and sensor warranty. Battery wear excluded.
W008,P008,2024-12-18,2026-12-18,2-year smart device warranty. Installation errors excluded.
W009,P009,2025-04-08,2026-04-08,1-year motor warranty. Blade damage not covered.
W010,P010,2025-08-14,2026-08-14,1-year personal care device warranty. Brush head replacement excluded.
W011,P011,2025-09-01,2026-09-01,1-year audio hardware warranty. Water exposure excluded.
W012,P012,2024-10-27,2026-10-27,2-year brewing system warranty. Descaling neglect excluded.
W013,P013,2025-06-03,2026-06-03,1-year wearable device warranty. Strap wear excluded.
W014,P014,2025-01-28,2026-01-28,1-year projector warranty. Lamp brightness reduction excluded.
W015,P015,2024-11-09,2026-11-09,2-year pressure cooker warranty. Gasket wear excluded.
W016,P016,2025-03-18,2030-03-18,5-year frame and lift warranty. Cosmetic scratches excluded.
W017,P017,2025-05-12,2028-05-12,3-year chair mechanism warranty. Upholstery stains excluded.
W018,P018,2025-07-25,2026-07-25,1-year keyboard warranty. Keycap fading excluded.
W019,P019,2024-12-05,2025-12-05,1-year earbuds warranty. Ear tips and case scratches excluded.
W020,P020,2025-02-20,2027-02-20,2-year smart doorbell warranty. Weather seal tampering excluded.
W021,P021,2025-06-19,2027-06-19,2-year frame and motor warranty. Tire wear excluded.
W022,P022,2024-09-14,2025-09-14,1-year fitness accessory warranty. Surface wear excluded.
W023,P023,2025-01-07,2026-01-07,1-year blender motor warranty. Cup cracking from drops excluded.
W024,P024,2025-04-02,2027-04-02,2-year lighting controller warranty. Bulb burnout excluded.
W025,P025,2025-05-08,2027-05-08,2-year purifier motor warranty. Filter replacement excluded.
W026,P026,2025-08-30,2026-08-30,1-year grooming kit warranty. Blade dulling excluded.
W027,P027,2024-10-05,2026-10-05,2-year camera body warranty. Lens scratches excluded.
W028,P028,2025-03-29,2026-03-29,1-year headset warranty. Cable and ear cushion wear excluded.
W029,P029,2025-09-17,2027-09-17,2-year security hub warranty. Network issues excluded.
W030,P030,2024-11-21,2025-11-21,1-year electric kettle warranty. Mineral buildup excluded.
W031,P031,2025-07-03,2026-07-03,1-year smart scale warranty. Battery leakage excluded.
W032,P032,2025-06-27,2026-06-27,1-year outdoor gear warranty. Fabric tears from misuse excluded.
W033,P033,2025-08-09,2028-08-09,3-year grill body warranty. Rust from improper storage excluded.
W034,P034,2025-02-14,2026-02-14,1-year food processor warranty. Bowl staining excluded.
W035,P035,2025-01-12,2026-01-12,1-year desk lamp warranty. Bulb replacement excluded.
W036,P036,2024-12-28,2025-12-28,1-year mouse warranty. Battery and surface wear excluded.
W037,P037,2025-03-04,2026-03-04,1-year streaming device warranty. App service issues excluded.
W038,P038,2025-06-08,2026-06-08,1-year charger warranty. Cable damage excluded.
W039,P039,2025-05-16,2026-05-16,1-year smart bottle warranty. Lid seal wear excluded.
W040,P040,2024-10-30,2026-10-30,2-year cookware warranty. Coating damage from metal tools excluded.
W041,P041,2025-07-19,2026-07-19,1-year action camera warranty. Water damage beyond rating excluded.
W042,P042,2025-04-25,2026-04-25,1-year garden kit warranty. Plant growth results excluded.
W043,P043,2025-08-02,2026-08-02,1-year air mattress warranty. Punctures excluded.
W044,P044,2025-06-12,2027-06-12,2-year air conditioner warranty. Improper installation excluded.
W045,P045,2025-01-24,2026-01-24,1-year floor steamer warranty. Pad replacement excluded.
W046,P046,2025-03-22,2026-03-22,1-year rice cooker warranty. Inner pot scratches excluded.
W047,P047,2024-11-18,2026-11-18,2-year smart lock warranty. Lost keys and batteries excluded.
W048,P048,2025-07-29,2026-07-29,1-year electric grill warranty. Nonstick wear excluded.
W049,P049,2025-05-20,2027-05-20,2-year trainer frame warranty. Resistance band wear excluded.
W050,P050,2025-09-05,2026-09-05,1-year printer warranty. Ink and paper jams excluded.
W051,P051,2025-02-26,2026-02-26,1-year microphone warranty. Cable strain damage excluded.
W052,P052,2025-04-12,2026-04-12,1-year pillow warranty. Comfort preference excluded.
W053,P053,2024-10-14,2025-10-14,1-year slow cooker warranty. Ceramic insert breakage excluded.
W054,P054,2025-08-21,2026-08-21,1-year smartphone warranty. Screen cracks excluded.
W055,P055,2025-06-03,2028-06-03,3-year mower motor warranty. Blade wear excluded.
W056,P056,2025-09-10,2027-09-10,2-year grow box warranty. Nutrient consumables excluded.
W057,P057,2025-05-03,2026-05-03,1-year pet camera warranty. Cloud service fees excluded.
W058,P058,2025-01-29,2026-01-29,1-year yoga block warranty. Surface dents excluded.
W059,P059,2024-12-11,2025-12-11,1-year solar lantern warranty. Battery capacity decline excluded.
W060,P060,2025-03-08,2026-03-08,1-year car vacuum warranty. Filter replacement excluded.
W061,P061,2025-07-15,2026-07-15,1-year backpack warranty. Fabric stains excluded.
W062,P062,2025-04-03,2027-04-03,2-year smart mirror warranty. Glass breakage excluded.
W063,P063,2025-06-25,2026-06-25,1-year hair dryer warranty. Filter clog damage excluded.
W064,P064,2025-02-09,2026-02-09,1-year hand mixer warranty. Beater wear excluded.
W065,P065,2025-08-13,2027-08-13,2-year smart air fryer warranty. Basket coating wear excluded.
W066,P066,2024-11-30,2025-11-30,1-year charging pad warranty. Cable damage excluded.
W067,P067,2025-05-28,2026-05-28,1-year portable speaker warranty. Water exposure beyond rating excluded.
W068,P068,2025-07-07,2026-07-07,1-year camping stove warranty. Fuel canisters excluded.
W069,P069,2025-06-01,2027-06-01,2-year pressure washer warranty. Hose wear excluded.
W070,P070,2024-10-22,2025-10-22,1-year grinder warranty. Burr wear excluded.
W071,P071,2025-03-15,2026-03-15,1-year office accessory warranty. Cosmetic wear excluded.
W072,P072,2025-09-03,2026-09-03,1-year monitor stand warranty. Mounting damage excluded.
W073,P073,2025-04-30,2027-04-30,2-year pet feeder warranty. Food jams from oversized kibble excluded.
W074,P074,2025-08-04,2026-08-04,1-year LED strip warranty. Adhesive failure after removal excluded.
W075,P075,2025-01-18,2026-01-18,1-year digital frame warranty. Memory card issues excluded.
W076,P076,2025-06-21,2026-06-21,1-year smart backpack warranty. Zipper wear excluded.
W077,P077,2024-12-20,2027-12-20,3-year stand mixer motor warranty. Attachments excluded.
W078,P078,2025-02-18,2026-02-18,1-year straightener warranty. Plate scratches excluded.
W079,P079,2025-07-27,2026-07-27,1-year massage device warranty. Attachment wear excluded.
W080,P080,2025-05-11,2026-05-11,1-year footwear warranty. Sole wear excluded.
W081,P081,2025-03-02,2026-03-02,1-year curtain warranty. Fading from sunlight excluded.
W082,P082,2025-08-17,2026-08-17,1-year water pitcher warranty. Filter replacement excluded.
W083,P083,2025-06-15,2026-06-15,1-year helmet warranty. Impact damage excluded.
W084,P084,2025-01-28,2026-01-28,1-year kitchen gadget warranty. Battery replacement excluded.
W085,P085,2024-11-23,2025-11-23,1-year thermometer warranty. Probe contamination damage excluded.
W086,P086,2025-09-12,2026-09-12,1-year pet bed warranty. Fabric chewing damage excluded.
W087,P087,2025-04-14,2026-04-14,1-year instrument electronics warranty. String wear excluded.
W088,P088,2025-07-23,2026-07-23,1-year running shoe warranty. Normal tread wear excluded.
W089,P089,2025-02-07,2026-02-07,1-year kitchen scale warranty. Battery corrosion excluded.
W090,P090,2025-06-29,2028-06-29,3-year gas grill warranty. Burner clogging from grease excluded.
W091,P091,2025-08-10,2027-08-10,2-year ice maker warranty. Scale buildup excluded.
W092,P092,2024-10-29,2026-10-29,2-year smart shades warranty. Fabric fading excluded.
W093,P093,2025-05-27,2027-05-27,2-year scooter motor warranty. Tire and brake wear excluded.
W094,P094,2025-01-09,2026-01-09,1-year facial steamer warranty. Mineral buildup excluded.
W095,P095,2025-03-11,2026-03-11,1-year gaming mouse warranty. Skates and grip wear excluded.
W096,P096,2025-06-05,2026-06-05,1-year smart kitchen scale warranty. Battery leakage excluded.
W097,P097,2025-07-31,2028-07-31,3-year dishwasher warranty. Improper detergent damage excluded.
W098,P098,2025-04-19,2026-04-19,1-year pet training collar warranty. Strap chewing damage excluded.
W099,P099,2025-08-27,2026-08-27,1-year garden tool warranty. Blade dulling excluded.
W100,P100,2025-09-22,2027-09-22,2-year smart rice cooker warranty. Inner pot coating wear excluded.
